measurement_num,primary,meas_within_primary,setting,irradiance,illuminance,mel_edi,rho_edi
1,1,1,25,0.010331783785899985,0.17480207119059044,1.8574340711277468,1.3652497671093902
2,1,2,50,0.052868662643789976,0.6122879088594216,9.512728970889976,6.890524538493479
3,1,3,100,0.13738629984719034,2.0644345371248707,24.63464616801399,17.985894514926596
4,1,4,200,0.3429143173913002,4.624122384482338,61.12721298195002,44.45849991063742
5,1,5,400,1.3362468550782094,18.636384563693365,235.55194996273607,171.41999401249154
6,1,6,800,2.3793772258018033,33.408526259134895,421.4354730242158,306.85470340532873
7,1,7,1200,3.1962503464520005,45.74407555199179,568.5208462502092,414.3437709951216
8,1,8,1600,4.266323648818996,62.05418244020987,766.083279402159,558.9050457920076
9,1,9,2000,5.02966230456099,71.62702366453715,907.9873691955548,662.0781711022926
10,1,10,2400,6.099947413500003,89.23397569161457,1110.6302685414832,810.993923686165
11,1,11,2800,6.875955997893004,100.27373730004844,1261.0655591308316,921.0281284939132
12,1,12,3200,7.921478459760007,118.46039520331615,1463.836111097099,1070.551840886343
13,1,13,3600,8.865645405274,131.38714733212495,1652.370948084776,1208.4079694016227
14,1,14,4000,9.399511790517007,138.52663505260207,1761.9712338204818,1288.8556481336334
15,1,15,4095,9.429196848582004,139.24173542380254,1768.3371683151483,1293.571115197708
16,2,1,25,0.023840165282935016,0.8952026566494686,9.490304412037808,7.113931588727613
17,2,2,50,0.09768199057866003,3.811806607343237,38.36947623950829,28.87095591635821
18,2,3,100,0.2257464661547099,8.588464172276474,86.97502944157517,65.42322479278415
19,2,4,200,0.6541774159934004,23.15174381384793,243.04690565350555,182.7261357156746
20,2,5,400,1.6862561220847996,59.02412651053088,608.1494329078115,457.54016319116687
21,2,6,800,2.960862059526997,103.39578961554588,1058.6874028408051,796.759215280841
22,2,7,1200,3.917800970980004,136.63175820534556,1402.3730238743758,1055.256575322174
23,2,8,1600,5.235920136057506,182.81642007530823,1877.436449909778,1412.5626703574449
24,2,9,2000,6.197275005382996,218.7069416421172,2225.6833937918423,1675.3282191957576
25,2,10,2400,7.487087831906995,260.813121471036,2705.5907459503296,2035.0201307283105
26,2,11,2800,8.466096989091996,298.0768648777296,3068.0084747221376,2308.31028195492
27,2,12,3200,9.783251581877002,345.9092839689149,3558.869831231243,2677.413995193052
28,2,13,3600,10.955012835218993,391.3627563564675,3994.594616823936,3005.8415784467907
29,2,14,4000,11.731870413139996,419.5847741574578,4286.617626649673,3225.588614847786
30,2,15,4095,11.766327903077995,422.1779082164687,4297.068662714078,3233.6721339045357
31,3,1,25,0.010774434494899994,0.7958782065436886,6.410042746692711,4.802574619284471
32,3,2,50,0.06759991105502988,5.165771283705801,40.1174712360997,30.09536068001822
33,3,3,100,0.2416038658998099,18.4389280694024,142.5345542594597,107.01605612814949
34,3,4,200,0.6267184197664007,47.99445937482939,369.3333266729565,277.6058484621994
35,3,5,400,1.3674564190483,104.72097015801783,802.7317563022101,604.139598451945
36,3,6,800,2.7760306625806006,213.55648593948032,1620.8524533751774,1221.5797293710978
37,3,7,1200,4.051492028299399,310.7935990433657,2362.8914044451794,1781.423118862794
38,3,8,1600,5.099388970416,391.15667191202886,2973.118088185284,2242.1165682860155
39,3,9,2000,6.197580938571,476.3098294783321,3612.4434295976935,2725.277581279829
40,3,10,2400,7.437635354395001,572.4585309076948,4333.636038866632,3270.2544618665565
41,3,11,2800,8.529661701436007,658.7251237378771,4969.405479983022,3751.626922626765
42,3,12,3200,9.571394246649993,740.6301153843048,5576.183301471879,4211.081132587119
43,3,13,3600,10.747521793431396,834.7809211047561,6259.567713973058,4729.331940760645
44,3,14,4000,11.735665839229995,909.2631044307636,6839.164071798135,5167.540433282027
45,3,15,4095,11.797912688703997,916.51341823044,6871.710404247162,5192.930024852208
46,4,1,25,0.0100753556945,1.5354499863127935,6.99232560330966,5.774984181256788
47,4,2,50,0.053296332745210014,8.404325506485007,36.48999585875094,30.28358354878018
48,4,3,100,0.18603048146943985,28.276870687168078,127.86504024918187,105.36266298407492
49,4,4,200,0.62808177082056,85.53106089791798,422.78920764190303,341.4572978760175
50,4,5,400,1.1757413859410877,145.68129162383494,777.3578520700249,618.8445067006385
51,4,6,800,2.4950485672582996,283.5620084660483,1603.534401204527,1262.5117665789955
52,4,7,1200,3.6985109314034013,408.6621541024314,2359.888634435535,1851.7227539777125
53,4,8,1600,4.689860278351602,512.3434806644334,2981.270133581532,2336.329302715777
54,4,9,2000,5.7492724954956085,625.3618289928052,3647.047386013119,2856.632228749688
55,4,10,2400,6.936498657646997,752.3140808195401,4394.548416874239,3441.248176727615
56,4,11,2800,7.929401535623997,857.8906241584032,5019.887384077733,3930.6800935070073
57,4,12,3200,9.006226826961695,974.2197091613888,5698.454564955951,4462.488544997738
58,4,13,3600,10.146298851619997,1097.3946837876265,6417.14409362189,5025.777091225986
59,4,14,4000,11.129040776944,1201.8920781809738,7023.265299236537,5500.848065985359
60,4,15,4095,11.16472872354299,1205.6006503763667,7044.980246784127,5518.0187823472015
61,5,1,25,0.0014662524126300015,0.6156532898329019,0.7362973900178903,0.844595043551193
62,5,2,50,0.043207987216720055,18.501201441274148,22.87278970082943,26.01688866694716
63,5,3,100,0.2088115593523,87.50410479200127,112.39431157092096,126.52524553260658
64,5,4,200,0.2560050322103102,106.57179972518784,137.94827526122484,154.91569394808087
65,5,5,400,1.5255652008657994,565.4432812313677,884.2207024932709,941.1493206012389
66,5,6,800,2.8011320844560013,977.5096554464598,1662.9298953880173,1727.6607444489678
67,5,7,1200,4.039299256430399,1374.6007492316587,2425.34556171568,2493.781837077786
68,5,8,1600,5.3120690036011995,1784.650236024141,3204.138641010736,3277.988652113378
69,5,9,2000,6.543444011499405,2182.8889226245446,3955.032233371242,4035.295263663775
70,5,10,2400,7.681820516427605,2553.0639678256225,4648.354589233863,4735.600597096634
71,5,11,2800,8.791429737719998,2917.1999250621866,5322.533769646976,5418.049588636492
72,5,12,3200,9.889820966726992,3275.651534353887,5987.088227838326,6090.092754058303
73,5,13,3600,11.018191215481906,3646.6557221623775,6669.434724782034,6780.993102554372
74,5,14,4000,12.240260331582009,4039.9881982343386,7416.899697814898,7530.357224568322
75,5,15,4095,12.372912824611001,4079.494741650045,7488.814284434967,7601.977025247133
76,6,1,25,0.0017270272242999997,1.0272187262287371,0.5306485717825056,0.7822850444664562
77,6,2,50,0.03633406978662997,21.41406555776488,11.230007395804517,16.460448685372505
78,6,3,100,0.1793689731400698,104.322916003093,58.00855481790589,83.49968902905741
79,6,4,200,0.48983167245580017,278.44824006055893,169.42369673209362,236.99268404994413
80,6,5,400,1.3245553995892,721.3011747236822,504.81974258531255,674.7297149722594
81,6,6,800,2.3225817819169996,1221.8505986409132,936.3545737860773,1214.7704106986023
82,6,7,1200,3.347625287151199,1731.6914919870371,1387.987465834906,1774.6494204374703
83,6,8,1600,4.358517134790802,2235.332851545598,1832.0739577752809,2325.4385733185404
