sample,mean_trace,sd,participant_id
1,79.14011679178626,17.37228258786191,Group average
2,79.2171025654712,17.32744801592557,Group average
3,79.29228858303891,17.281767552187322,Group average
4,79.36711573992883,17.23570651208598,Group average
5,79.44104774588038,17.190213384187935,Group average
6,79.51051956444171,17.148530662811556,Group average
7,79.57620052606735,17.108735335822846,Group average
8,79.64042244663877,17.07024274166744,Group average
9,79.70771240757693,17.03207717679389,Group average
10,79.77922523737745,16.99334978960518,Group average
11,79.84920802066665,16.953739006893702,Group average
12,79.92041354752001,16.91440220439413,Group average
13,79.9936115771482,16.877470095074056,Group average
14,80.05780036022003,16.843670820799634,Group average
15,80.11751392185403,16.81687846227304,Group average
16,80.1754268732257,16.79053987729007,Group average
17,80.22949070343638,16.761761481486815,Group average
18,80.27319271672235,16.72424509024966,Group average
19,80.3000540392129,16.682427360817073,Group average
20,80.3211279598094,16.640025675848925,Group average
21,80.33849302721102,16.5974265866919,Group average
22,80.36441063818654,16.558817695663198,Group average
23,80.39322539392002,16.53454724685834,Group average
24,80.41951424959404,16.52298359729508,Group average
25,80.44547465253306,16.521742244541073,Group average
26,80.47127663788254,16.525583975174257,Group average
27,80.49560114932892,16.53327971991433,Group average
28,80.50999532621245,16.554577131396208,Group average
29,80.51463505366664,16.58861524850281,Group average
30,80.50842162764367,16.633228416583275,Group average
31,80.4946396351064,16.6802459403889,Group average
32,80.47004168146806,16.728960852510873,Group average
33,80.43548030815332,16.783295424297933,Group average
34,80.39546023323847,16.83741147852175,Group average
35,80.35236164374305,16.892185000654784,Group average
36,80.30315998762914,16.94829662217941,Group average
37,80.24216245100874,17.008523403537755,Group average
38,80.17669832416169,17.070978987634152,Group average
39,80.11174595086788,17.137776846327025,Group average
40,80.05840242542267,17.209272606576082,Group average
41,80.01178104623119,17.286176892954327,Group average
42,79.96197921608238,17.371558605223964,Group average
43,79.90245482705724,17.463136168856078,Group average
44,79.83024395597907,17.561655400506694,Group average
45,79.74992510799935,17.669152697099694,Group average
46,79.66122452206662,17.78445087116704,Group average
47,79.5727097507959,17.9033420278212,Group average
48,79.48700402209037,18.023022929472685,Group average
49,79.40172767969631,18.145252223231164,Group average
50,79.3217204357371,18.26881497925124,Group average
51,79.25552710322208,18.387998385341874,Group average
52,79.20143204404161,18.50120551539647,Group average
53,79.16134354650195,18.60777629743133,Group average
54,79.14090777164654,18.70071922871251,Group average
55,79.14001873619306,18.777398826998528,Group average
56,79.15400200860476,18.833293068432976,Group average
57,79.17253820739907,18.86325053595223,Group average
58,79.19118770073759,18.873589364862177,Group average
59,79.2207508156847,18.87534759596167,Group average
60,79.25254852803955,18.877795954453894,Group average
61,79.28354314289638,18.880035889091452,Group average
62,79.30882156257606,18.88224955653311,Group average
63,79.3328405396775,18.88293643930225,Group average
64,79.36299334017117,18.877913273776198,Group average
65,79.40329488443395,18.869310659713726,Group average
66,79.45283809395073,18.8572206942495,Group average
67,79.50162284701979,18.840183993714657,Group average
68,79.54245779564927,18.813029429260652,Group average
69,79.5749550875659,18.778617536454902,Group average
70,79.59776958215876,18.73388435747231,Group average
71,79.61310924739692,18.67952064862819,Group average
72,79.62723950224081,18.616077526061726,Group average
73,79.63848798919615,18.54564301586727,Group average
74,79.6458559194177,18.470439148697718,Group average
75,79.65513144878426,18.39407440249712,Group average
76,79.67001504808026,18.3148614396873,Group average
77,79.67892497139002,18.233162637735234,Group average
78,79.6798659646422,18.154943633222306,Group average
79,79.68606912930827,18.094543309108953,Group average
80,79.69941803731568,18.05356154129547,Group average
81,79.71306385467341,18.029674806037878,Group average
82,79.7241505924041,18.024138630409684,Group average
83,79.72826927091478,18.039390068436795,Group average
84,79.73108315105556,18.073042325709523,Group average
85,79.7299907372257,18.122313894673262,Group average
86,79.72576451386372,18.182930741866215,Group average
87,79.71611047563547,18.25055206952392,Group average
88,79.68596373822629,18.316868978792655,Group average
89,79.6409845002697,18.378601757745233,Group average
90,79.59052067348766,18.435834999375246,Group average
91,79.5374794302272,18.4901169297155,Group average
92,79.48681545030466,18.53623703096835,Group average
93,79.4421251387857,18.57727820510827,Group average
94,79.39565821876762,18.618581308530537,Group average
95,79.34154340813785,18.656324532420626,Group average
96,79.27774341138101,18.69109398327106,Group average
97,79.20484820840325,18.722459175826973,Group average
98,79.12666927450671,18.750009454802193,Group average
99,79.04631702284885,18.773483872365652,Group average
100,78.97087690556248,18.78893258772916,Group average
101,78.89337485320252,18.796988219583838,Group average
102,78.8116319624167,18.800647106259298,Group average
103,78.73294494734948,18.801038454839897,Group average
104,78.66165857595908,18.799946626356093,Group average
105,78.6010112344432,18.798687548136062,Group average
106,78.55288699955683,18.798965996192955,Group average
107,78.51757468060516,18.802438727677657,Group average
108,78.49087957428145,18.80971404668719,Group average
109,78.47028977318962,18.821196676269825,Group average
110,78.45510366173038,18.828342361938976,Group average
111,78.44132916985937,18.82947666631273,Group average
112,78.41959481331264,18.837277517459793,Group average
113,78.40173764306648,18.84355396524714,Group average
114,78.38801813509097,18.84665129489092,Group average
115,78.37377199947078,18.847758683411605,Group average
116,78.35363293915381,18.854557399593045,Group average
117,78.33147783566447,18.873797101119052,Group average
118,78.32132423374054,18.901141158640936,Group average
119,78.3277463609828,18.93787078780365,Group average
120,78.33743343250426,18.986202010895237,Group average
121,78.34885444220036,19.034586967283424,Group average
122,78.35404581121959,19.077278326162894,Group average
123,78.35826791823095,19.112694980653767,Group average
124,78.35610349712849,19.144874220995927,Group average
125,78.33679419102694,19.180913476760058,Group average
126,78.29447177904999,19.221436791563935,Group average
127,78.22602669054268,19.266987953078353,Group average
