melanopic_edi,mean_rating_vd,sd_rating_vd,participant_id
392,1.9206349206349207,0.7721165852149668,Group average
912,2.7142857142857144,0.9662971379084999,Group average
1967,3.880952380952381,1.1415667318096667,Group average
3906,4.912698412698413,1.2434484392864953,Group average
8408,6,0.9757048734120374,Group average
