n_subjects,noise_scaling,p_favour_mel,p_unclear,p_favour_phot,n_sims,n_valid,n_failed,prop_failed
6,6,0.625,0.125,0.25,20,8,12,0.6
6,7,0.5555555555555556,0.4444444444444444,0,20,9,11,0.55
6,8,0.4444444444444444,0.4444444444444444,0.1111111111111111,20,9,11,0.55
6,9,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
6,10,0.16666666666666666,0.8333333333333334,0,20,12,8,0.4
7,1,1,0,0,20,20,0,0
7,2,1,0,0,20,19,1,0.05
7,3,1,0,0,20,17,3,0.15
7,4,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
7,5,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
7,6,0.7,0.3,0,20,10,10,0.5
7,7,0.7,0.3,0,20,10,10,0.5
7,8,0.5,0.375,0.125,20,8,12,0.6
7,9,0.125,0.75,0.125,20,8,12,0.6
7,10,0,0.8,0.2,20,10,10,0.5
8,1,1,0,0,20,20,0,0
8,2,1,0,0,20,19,1,0.05
8,3,1,0,0,20,17,3,0.15
8,4,0.9,0.1,0,20,10,10,0.5
8,5,0.9,0.1,0,20,10,10,0.5
8,6,0.6,0.3,0.1,20,10,10,0.5
8,7,0.5833333333333334,0.25,0.16666666666666666,20,12,8,0.4
8,8,0.2222222222222222,0.4444444444444444,0.3333333333333333,20,9,11,0.55
8,9,0.09090909090909091,0.8181818181818182,0.09090909090909091,20,11,9,0.45
8,10,0,0.9,0.1,20,10,10,0.5
9,1,1,0,0,20,20,0,0
9,2,1,0,0,20,20,0,0
9,3,1,0,0,20,17,3,0.15
9,4,0.6666666666666666,0.3333333333333333,0,20,12,8,0.4
9,5,0.9,0.1,0,20,10,10,0.5
9,6,0.7692307692307693,0.15384615384615385,0.07692307692307693,20,13,7,0.35
9,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,20,7,13,0.65
9,8,0.5555555555555556,0.4444444444444444,0,20,9,11,0.55
9,9,0.07692307692307693,0.8461538461538461,0.07692307692307693,20,13,7,0.35
9,10,0.3,0.7,0,20,10,10,0.5
10,1,1,0,0,20,20,0,0
10,2,1,0,0,20,20,0,0
10,3,1,0,0,20,19,1,0.05
10,4,0.9166666666666666,0.08333333333333333,0,20,12,8,0.4
10,5,1,0,0,20,5,15,0.75
10,6,0.7272727272727273,0.18181818181818182,0.09090909090909091,20,11,9,0.45
10,7,0.5454545454545454,0.2727272727272727,0.18181818181818182,20,11,9,0.45
10,8,0.25,0.625,0.125,20,8,12,0.6
10,9,0.06666666666666667,0.8,0.13333333333333333,20,15,5,0.25
10,10,0.07142857142857142,0.8571428571428571,0.07142857142857142,20,14,6,0.3
11,1,1,0,0,20,20,0,0
11,2,1,0,0,20,20,0,0
11,3,1,0,0,20,19,1,0.05
11,4,0.9166666666666666,0,0.08333333333333333,20,12,8,0.4
11,5,0.7142857142857143,0.14285714285714285,0.14285714285714285,20,7,13,0.65
11,6,0.5,0.25,0.25,20,8,12,0.6
11,7,0.6363636363636364,0.2727272727272727,0.09090909090909091,20,11,9,0.45
11,8,0.3333333333333333,0.6666666666666666,0,20,6,14,0.7
11,9,0.09090909090909091,0.9090909090909091,0,20,11,9,0.45
11,10,0.18181818181818182,0.8181818181818182,0,20,11,9,0.45
12,1,1,0,0,20,20,0,0
12,2,1,0,0,20,20,0,0
12,3,1,0,0,20,19,1,0.05
12,4,0.9090909090909091,0.09090909090909091,0,20,11,9,0.45
12,5,0.8461538461538461,0.07692307692307693,0.07692307692307693,20,13,7,0.35
