channel,sample,time_sec,mean_trace,sd,participant_id
2,1,-10,207.57411489364807,216.11442994913057,Group average
2,2,-9.9921875,207.29685896256964,214.98867020284382,Group average
2,3,-9.984375,207.02001388967145,213.86357073165988,Group average
2,4,-9.9765625,206.74356765398633,212.7391061759136,Group average
2,5,-9.96875,206.467508621272,211.61525144088768,Group average
2,6,-9.9609375,206.19182558081278,210.49198181446067,Group average
2,7,-9.953125,205.91650778174156,209.369273084789,Group average
2,8,-9.9453125,205.64154496943942,208.2471016596667,Group average
2,9,-9.9375,205.3669274209087,207.12544468399702,Group average
2,10,-9.9296875,205.09264597978995,206.00428015706683,Group average
2,11,-9.921875,204.81869209060557,204.88358704900304,Group average
2,12,-9.9140625,204.54505783227964,203.7633454161827,Group average
2,13,-9.90625,204.27173595101763,202.6435365159913,Group average
2,14,-9.8984375,203.99871989252628,201.52414292068008,Group average
2,15,-9.890625,203.72600383337456,200.40514862975402,Group average
2,16,-9.8828125,203.45358271123558,199.2865391802361,Group average
2,17,-9.875,203.1814522535122,198.16830175254296,Group average
2,18,-9.8671875,202.90960900456938,197.05042527281404,Group average
2,19,-9.859375,202.63805035185234,195.93290051277427,Group average
2,20,-9.8515625,202.36677455105013,194.81572018831937,Group average
2,21,-9.84375,202.09578075001252,193.69887905400213,Group average
2,22,-9.8359375,201.8250690106015,192.5823739922793,Group average
2,23,-9.828125,201.55464032869182,191.4662040973363,Group average
2,24,-9.8203125,201.28449665237073,190.35037075368507,Group average
2,25,-9.8125,201.0146408979425,189.23487770782535,Group average
2,26,-9.8046875,200.74507696400374,188.11973113430088,Group average
2,27,-9.796875,200.47580974305092,187.00493969447055,Group average
2,28,-9.7890625,200.20684513123905,185.89051458905666,Group average
2,29,-9.78125,199.9381900354311,184.7764696017188,Group average
2,30,-9.7734375,199.66985237749702,183.66282113403665,Group average
2,31,-9.765625,199.4018410969862,182.5495882349672,Group average
2,32,-9.7578125,199.13416615100343,181.43679262095395,Group average
2,33,-9.75,198.86683851127466,180.32445868742585,Group average
2,34,-9.7421875,198.59987015940035,179.21261351508554,Group average
2,35,-9.734375,198.33327407992437,178.10128686863564,Group average
2,36,-9.7265625,198.06706425038672,176.99051118469657,Group average
2,37,-9.71875,197.80125562984279,175.88032155553825,Group average
2,38,-9.7109375,197.53586414519367,174.7707557054879,Group average
2,39,-9.703125,197.27090667589601,173.66185396225939,Group average
2,40,-9.6953125,197.0064010365616,172.55365922212755,Group average
2,41,-9.6875,196.74236595797223,171.44621690971312,Group average
2,42,-9.6796875,196.4788210661305,170.3395749318182,Group average
2,43,-9.671875,196.21578686011415,169.23378362785525,Group average
2,44,-9.6640625,195.95328468862618,168.1288957172569,Group average
2,45,-9.65625,195.69133672526306,167.02496624245495,Group average
2,46,-9.6484375,195.4299659425695,165.92205250931383,Group average
2,47,-9.640625,195.16919608504247,164.82021402436183,Group average
2,48,-9.6328125,194.90905164110185,163.7195124293491,Group average
2,49,-9.625,194.64955781451792,162.62001143540567,Group average
2,50,-9.6171875,194.39074049485006,161.52177675523652,Group average
2,51,-9.609375,194.1326262274922,160.4248760348209,Group average
2,52,-9.6015625,193.87524218313158,159.3293787840569,Group average
2,53,-9.59375,193.6186161266798,158.2353563070532,Group average
2,54,-9.5859375,193.36277638635053,157.1428816334893,Group average
2,55,-9.578125,193.1077518225629,156.0520294507546,Group average
2,56,-9.5703125,192.85357179629509,154.9628760363682,Group average
2,57,-9.5625,192.6002661376273,153.87549919208212,Group average
2,58,-9.5546875,192.34786511462676,152.78997817983526,Group average
2,59,-9.546875,192.09639940224906,151.70639365946639,Group average
2,60,-9.5390625,191.84590005160345,150.62482762786917,Group average
2,61,-9.53125,191.5963984593287,149.54536336002258,Group average
2,62,-9.5234375,191.3479263371726,148.46808535129153,Group average
2,63,-9.515625,191.10051568203409,147.3930792625284,Group average
2,64,-9.5078125,190.85419874705025,146.32043186959024,Group average
2,65,-9.5,190.60900801298794,145.2502310147373,Group average
2,66,-9.4921875,190.36497615991598,144.18256555998155,Group average
2,67,-9.484375,190.12213603995934,143.1175253448734,Group average
2,68,-9.4765625,189.88052065048336,142.0552011462687,Group average
2,69,-9.46875,189.6401631079175,140.9956846404653,Group average
2,70,-9.4609375,189.40109662193592,139.939068367659,Group average
2,71,-9.453125,189.16335447044932,138.88544569912526,Group average
2,72,-9.4453125,188.92696997580995,137.83491080883402,Group average
2,73,-9.4375,188.69197648174375,136.78755864820505,Group average
2,74,-9.4296875,188.458407330694,135.74348492219596,Group average
2,75,-9.421875,188.22629584202676,134.70278606889025,Group average
2,76,-9.4140625,187.99567529103166,133.66555924190058,Group average
2,77,-9.40625,187.76657888842604,132.63190229354745,Group average
2,78,-9.3984375,187.5390397608975,131.60191376123262,Group average
2,79,-9.390625,187.3130909325786,130.57569285700438,Group average
2,80,-9.3828125,187.08876530698072,129.55333945860028,Group average
2,81,-9.375,186.86609564923324,128.53495410080467,Group average
2,82,-9.3671875,186.64511456928497,127.52063796930662,Group average
2,83,-9.359375,186.4258545060786,126.51049289709637,Group average
2,84,-9.3515625,186.20834771217616,125.50462136135334,Group average
2,85,-9.34375,185.99262623878496,124.50312648108633,Group average
2,86,-9.3359375,185.77872192170074,123.5061120165001,Group average
2,87,-9.328125,185.56666636750793,122.51368236707042,Group average
2,88,-9.3203125,185.3564909401231,121.52594256961815,Group average
2,89,-9.3125,185.14822674793274,120.54299829699465,Group average
2,90,-9.3046875,184.9419046308594,119.56495585456501,Group average
2,91,-9.296875,184.7375551482509,118.59192217697331,Group average
2,92,-9.2890625,184.5352085668325,117.62400482312302,Group average
2,93,-9.28125,184.33489484867349,116.66131196894453,Group average
2,94,-9.2734375,184.1366436397256,115.70395239951525,Group average
2,95,-9.265625,183.94048425884128,114.75203549972638,Group average
2,96,-9.2578125,183.74644568650046,113.80567124172227,Group average
2,97,-9.25,183.55455655376377,112.86497016991468,Group average
2,98,-9.2421875,183.36484513125654,111.93004338266576,Group average
2,99,-9.234375,183.17733931860866,111.00100251194561,Group average
2,100,-9.2265625,182.9920666341185,110.0779597008717,Group average
2,101,-9.21875,182.80905420416647,109.161027577335,Group average
2,102,-9.2109375,182.62832875263496,108.25031922367675,Group average
2,103,-9.203125,182.44991659090243,107.34594814492182,Group average
2,104,-9.1953125,182.27384360800517,106.44802823354685,Group average
2,105,-9.1875,182.10013526088846,105.55667372986873,Group average
2,106,-9.1796875,181.92881656472838,104.67199917933988,Group average
2,107,-9.171875,181.75991208361833,103.79411938721667,Group average
2,108,-9.1640625,181.59344592172272,102.92314937003535,Group average
2,109,-9.15625,181.42944171462727,102.0592043037471,Group average
2,110,-9.1484375,181.26792262105013,101.20239946873448,Group average
2,111,-9.140625,181.10891131483706,100.3528501908304,Group average
2,112,-9.1328125,180.9524299774786,99.5106717794133,Group average
2,113,-9.125,180.79850029123233,98.67597946296506,Group average
