effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,model_label,estimate_exp,conf.low_exp,conf.high_exp
fixed,cond,(Intercept),-2.0785457387492197,0.08736237444419975,-23.792230373463944,4.0193262802379243e-125,-2.2497728462637534,-1.9073186312346857,mel,Melanopic EDI,0.12511202553523706,0.10542316910896476,0.14847797752457
fixed,cond,log_melanopic_edi,0.35415851767322476,0.015404442333232994,22.990674378985847,5.7784681878759526e-117,0.32396636549816393,0.3843506698482856,mel,Melanopic EDI,1.4249810532584293,1.3826008032481611,1.4686603663002773
fixed,cond,lights_onTRUE,-0.8843858662120644,0.04013331007971576,-22.036205447680032,1.2955077362463505e-107,-0.9630457085486855,-0.8057260238754432,mel,Melanopic EDI,0.41296771284325795,0.3817284799598629,0.4467634478541485
fixed,cond,log_baseline,0.15490254625610175,0.03336186795388962,4.643101713315241,3.4321727758904302e-6,0.08951448660949712,0.22029060590270638,mel,Melanopic EDI,1.167544174009802,1.0936431763792198,1.2464389004623175
fixed,cond,trial,-0.0019546458618213336,4.848225855803682e-4,-4.031672450823385,5.538133707400634e-5,-0.0029048806684504433,-0.0010044110551922238,mel,Melanopic EDI,0.9980472632143427,0.9970993344149726,0.9989960931967521
fixed,cond,(Intercept),-2.07921426413807,0.08728428626946329,-23.821175070609364,2.015414593576824e-125,-2.250288321642502,-1.908140206633638,phot,Photopic illuminance,0.1250284129214079,0.10536884006478478,0.1483560417675175
fixed,cond,log_illuminance,0.36086938303901994,0.015384712579340811,23.456361708284973,1.1383746799957906e-121,0.3307159004710116,0.39102286560702826,phot,Photopic illuminance,1.4345760686741371,1.3919642797321456,1.4784923196510211
fixed,cond,lights_onTRUE,-0.9341648916847635,0.04159077200317617,-22.46086924314422,1.0020854427527025e-111,-1.0156813069002055,-0.8526484764693214,phot,Photopic illuminance,0.39291385418623276,0.3621556066471114,0.42628443127186233
fixed,cond,log_baseline,0.1546005734322797,0.033336861695460754,4.6375263168017575,3.5260372669952193e-6,0.08926152515158375,0.21993962171297565,phot,Photopic illuminance,1.167191660626049,1.0933665617947752,1.2460014968801512
fixed,cond,trial,-0.001958500891382107,4.844425724873129e-4,-4.042792691250104,5.2818317083056265e-5,-0.002907990886035175,-0.0010090108967290396,phot,Photopic illuminance,0.9980434157200561,0.9970962332239116,0.9989914979835962
fixed,cond,(Intercept),-2.0783031771150613,0.08745945878133231,-23.763046399718434,8.054760941032289e-125,-2.249720566433838,-1.9068857877962846,rho,Rhodopic EDI,0.1251423765934561,0.10542868075838772,0.14854225915382568
fixed,cond,log_rhodopic_edi,0.35422930336851294,0.015159946447534276,23.36613157536103,9.448364197151693e-121,0.32451635432378984,0.38394225241323604,rho,Rhodopic EDI,1.4250819251031563,1.3833614273884647,1.4680606622736405
fixed,cond,lights_onTRUE,-0.8897980622145838,0.04038062674888827,-22.035271214285476,1.322509990116455e-107,-0.9689426363155595,-0.810653488113608,rho,Rhodopic EDI,0.410738688039227,0.37948407872680806,0.4445674517313219
fixed,cond,log_baseline,0.1548845362937235,0.03341476391273667,4.635212647265969,3.5657073607389643e-6,0.08939280247285095,0.22037627011459607,rho,Rhodopic EDI,1.1675231467725036,1.0935101054499778,1.2465456802419317
fixed,cond,trial,-0.001962450520739888,4.8554478692067535e-4,-4.0417497491544445,5.305383506078449e-5,-0.002914100815985586,-0.0010108002254941898,rho,Rhodopic EDI,0.9980394738262656,0.9970901410543842,0.998989710460972
