Condition,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6
Illuminance (lx),0.0005420318236276577,486.11406768430805,1074.0399325107226,2419.932671931816,4532.285933260915,9821.728485071415
CIE 1931 xy chromaticity [x],0.28771786198683297,0.37116888078458116,0.3469157218772263,0.3514147702458536,0.34414844563946506,0.3451718244959566
CIE 1931 xy chromaticity [y],0.4296029961962224,0.3548476530916286,0.34684503320610593,0.34879282715863946,0.33374556556259305,0.3373018483696358
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.2892931629547494,0.37260588714580717,0.3493450179725345,0.35349246187681177,0.3452771723057063,0.3466525006537207
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.46462723275673035,0.3586726584093252,0.3491887768056269,0.34940908249648917,0.3355815982593152,0.3393515200707438
S-cone-opic irradiance (mW ⋅ m⁻²),0.00021514877578770534,272.92091314559497,697.4641319936226,1543.499511577121,3255.4883128448187,6857.786283923602
M-cone-opic irradiance (mW ⋅ m⁻²),0.0009234143139930973,643.5463889215206,1469.7275140825982,3274.673061621943,6179.987056524742,13397.471822639125
L-cone-opic irradiance (mW ⋅ m⁻²),0.0008920310484584131,806.4027430048656,1760.5374201989896,3962.7126387169387,7457.679204399392,16143.853704950228
Rhodopic irradiance (mW ⋅ m⁻²),0.0011440075863129908,582.2344239504632,1356.1975167565363,2961.4252695207188,5765.837213453315,12444.993779652694
Melanopic irradiance (mW ⋅ m⁻²),0.0010689027926328416,520.6416718450231,1209.6112121335345,2609.7621108203653,5182.06948777906,11155.206025967922
S-cone-opic EDI (lx),0.00026324666797711494,333.93413810423857,853.3867232507113,1888.558751772366,3983.2736572968734,8390.888501840189
M-cone-opic EDI (lx),0.0006342887811356395,442.0488706397991,1009.5486493789972,2249.3569283023066,4245.0029181011905,9202.657944442875
L-cone-opic EDI (lx),0.0005476252659221703,495.0573383533913,1080.808537515105,2432.742185712921,4578.33117415515,9910.84580907852
Rhodopic EDI (lx),0.0007891320716924812,401.62308596527356,935.4998767722167,2042.779860954504,3977.252528506549,8584.509264653161
Melanopic EDI (lx),0.0008059811208387026,392.5776610568983,912.0790096666211,1967.8300082090643,3907.418151407946,8411.32188816777
S-cone-opic ELR,0.39693015503735296,0.5614338923489767,0.6493837993185225,0.637827460854502,0.7182883782671102,0.698226009235251
M-cone-opic ELR,1.7036164183367686,1.323858805377038,1.3684104934971077,1.3532083349276793,1.3635474785851232,1.36406456796303
L-cone-opic ELR,1.6457171139663254,1.658875553316756,1.6391731507444798,1.6375301200233525,1.6454564681521975,1.6436876390431847
Rhodopic ELR,2.110591180157077,1.1977321016938305,1.2627067911583416,1.2237634971706188,1.2721697832742156,1.2670879467466978
Melanopic ELR,1.9720295857888808,1.0710277822758627,1.1262255485286237,1.0784440993298419,1.1433677318877,1.1357681128045163
"CCT (K) - Ohno, 2013",N/A,4104.541480887163,4912.020745249908,4748.32795091947,4972.115858814584,4943.051912966842
"CCT (K) - Robertson, 1968",N/A,4104.267287944306,4911.384211476429,4747.5571641196375,4971.940481586696,4942.830838647905
Colour Fidelity Index [Rf],N/A,92.41339784617955,96.30441718341078,96.06089746524671,95.11312960633242,95.83596537719336
Colour Rendering Index [Ra],N/A,90,96.125,97.25,94.5,95.625
CIE 1960 UCS [u],0.15183400788512375,0.22785655772204022,0.21453256132680013,0.2168328731453562,0.21793099274737565,0.21718213086854904
CIE 1976 UCS [u prime],0.15183400788512375,0.22785655772204022,0.21453256132680013,0.2168328731453562,0.21793099274737565,0.21718213086854904
CIE 1960 UCS [v],0.3400641044398302,0.32675569909696733,0.321733271215877,0.32282258992296214,0.3170150992238692,0.31834551218856444
CIE 1976 UCS [v prime],0.5100961566597453,0.49013354864545106,0.48259990682381554,0.48423388488444313,0.47552264883580386,0.47751826828284666
Duv,0.056855417079179286,-0.007820645203366117,-0.0031562671017294486,-0.003930380508877174,-0.008910905085624199,-0.007434888078008128
"TM30 - CCT (K) - Ohno, 2013",N/A,4104.509790085766,4911.9674540208825,4748.524756807111,4972.151507781456,4943.239345688189
TM30 - Duv,0.0568554436568232,-0.007820582169414336,-0.0031562082959242233,-0.003929675458902437,-0.00891098955971198,-0.007434658304676378
TM30 - Colour Fidelity Index [Rf],N/A,92.41329322918455,96.30402403126641,96.06070497115375,95.11292771520118,95.83536846303778
TM30 - Gamut Index (Rg),N/A,100.07513193236477,101.2257618923879,103.14872715495645,104.7519283021805,103.85721650845534
"TM30 - Rcs, h1",N/A,-0.008085023512649435,-0.017281404995667726,-0.0060771779964222195,0.006082096289923447,0.0017314110552488346
"TM30 - Rf, h1",N/A,95.21478351206014,95.86416216708342,97.52752717672797,96.6990475339867,97.23503283079268
