Condition,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25,Measurement 26,Measurement 27,Measurement 28,Measurement 29,Measurement 30,Measurement 31,Measurement 32,Measurement 33,Measurement 34,Measurement 35,Measurement 36,Measurement 37,Measurement 38,Measurement 39,Measurement 40,Measurement 41,Measurement 42,Measurement 43,Measurement 44,Measurement 45,Measurement 46,Measurement 47,Measurement 48,Measurement 49,Measurement 50,Measurement 51,Measurement 52,Measurement 53,Measurement 54,Measurement 55,Measurement 56,Measurement 57,Measurement 58,Measurement 59,Measurement 60,Measurement 61,Measurement 62,Measurement 63,Measurement 64,Measurement 65,Measurement 66,Measurement 67,Measurement 68,Measurement 69,Measurement 70,Measurement 71,Measurement 72,Measurement 73,Measurement 74,Measurement 75,Measurement 76,Measurement 77,Measurement 78,Measurement 79,Measurement 80,Measurement 81,Measurement 82,Measurement 83,Measurement 84,Measurement 85,Measurement 86,Measurement 87,Measurement 88,Measurement 89,Measurement 90,Measurement 91,Measurement 92,Measurement 93,Measurement 94,Measurement 95,Measurement 96,Measurement 97,Measurement 98,Measurement 99,Measurement 100,Measurement 101,Measurement 102,Measurement 103,Measurement 104,Measurement 105,Measurement 106,Measurement 107,Measurement 108,Measurement 109,Measurement 110,Measurement 111,Measurement 112,Measurement 113,Measurement 114,Measurement 115,Measurement 116,Measurement 117,Measurement 118,Measurement 119,Measurement 120,Measurement 121,Measurement 122,Measurement 123,Measurement 124,Measurement 125,Measurement 126,Measurement 127,Measurement 128,Measurement 129,Measurement 130,Measurement 131,Measurement 132,Measurement 133,Measurement 134,Measurement 135,Measurement 136,Measurement 137,Measurement 138,Measurement 139,Measurement 140,Measurement 141,Measurement 142,Measurement 143,Measurement 144
Illuminance (lx),2.0856183640886616,12.193791600997537,52.171464415619695,309.7993110777387,4.209070671853378,25.291501161610945,130.4208036522303,689.0149417084864,8.103891324445529,48.87566224089497,216.72917745910115,947.4314417967184,22.27413203120995,72.26599820765993,561.9521758597285,2919.2207309549995,30.89479643207541,190.98284608489655,880.9365341117474,4432.5061123219675,27.27358728605807,134.40640911671483,820.6777649169883,3969.7894703164447,2.063183359265978,12.706705331007099,52.79666607709193,310.90029729256014,4.230859587266877,25.44166781739233,131.18249242891275,689.9444341012927,8.132220798076087,49.02921134380124,216.06311861832418,952.2636640659086,22.25546298347724,76.7168455899105,560.7946553800218,2927.1387235649436,30.946096394611835,191.064676087495,879.2480177735713,4442.00220179044,27.250147064096385,155.4465141536421,826.5231487771897,3973.1359638220806,1.9257401857162726,12.879826769643323,52.42597104229141,310.49690589000954,4.224784072212844,25.35900094872008,130.6728980249299,690.7109688241253,8.06775233365212,49.236986527248874,216.80744114481013,951.2225153427768,22.395528376691484,81.71874567765099,561.0536911701174,2930.293796820131,31.025346500988622,191.6933883228074,880.0931959490041,4449.889260312772,27.149625482385453,155.49345760853737,826.9950833201868,3978.966737368032,3973.9361207800894,940.8105517857579,155.72943308428495,27.24930134131441,4445.435839852615,872.7496137986208,191.20985827761206,31.11672623202106,2937.3426383100455,586.1897433732981,146.48773823814417,22.478286855058464,948.6670630065938,215.82768009485497,49.24741296998826,8.142171748181774,688.1303206444815,129.67277785040915,25.54526381710434,4.069504097398785,309.7013371118831,53.07514050118378,12.708243220469821,2.02021889855338,3993.546849028522,942.7998519420945,155.83603931090892,27.33641877387999,4450.371278150693,873.9603799157462,191.00109326298173,31.126057889077554,2934.6504183950983,586.7188033009733,146.71765647817946,22.36188972208022,952.5933666489803,217.7450712738662,48.86152139826028,8.04211637050331,688.876799743281,129.43229564614342,25.28700546588932,4.344934373941306,309.29013212663205,53.427347597286094,12.5618571979475,2.075933816675678,3986.407335056491,943.0203389977305,155.9125348834532,27.223416278064686,4439.391512262883,872.218080152721,191.14950370932624,31.122619806153523,2935.536855484659,583.9256198800626,146.86154004059563,22.366857044985796,952.7150606027135,215.79229714527358,49.01092711849304,8.12415321503015,693.3345339612164,129.87364177615825,25.59765541880319,4.38106651488574,311.4202400961696,53.44815093388274,12.970140044346728,2.0222028086491557
CIE 1931 xy chromaticity [x],0.16261279663237552,0.16218833093263857,0.16379525432385103,0.1637787417977615,0.1387966363198349,0.13729787323512868,0.13788421201139098,0.13817288921886228,0.09792286633331072,0.1012736576056705,0.12010948966338443,0.12458524511777191,0.1273905410788605,0.12131859814539801,0.10337730392029842,0.09811730114530862,0.25076527317274694,0.23287313229920106,0.20369541731766858,0.18826108545150388,0.4133429388742338,0.4148676090060451,0.4142298757724906,0.4141923172862582,0.1622926816890406,0.1624755488955474,0.16386031982522944,0.16363263153151417,0.13804172498304057,0.13708372882622935,0.13799252953377747,0.13805104749201405,0.0966772058139142,0.10115401560096432,0.11977606449969445,0.12467132265763123,0.12597178350527274,0.12200374242950283,0.10346925497602534,0.09800092132232524,0.25110111579419325,0.23297302985322144,0.2034279179621517,0.18841485186623044,0.41411717624598815,0.4145956211587473,0.4143572764376542,0.41432859644827597,0.16045474447685953,0.16280907226618982,0.16375040594307058,0.16361125336076987,0.1375345212410314,0.13720065179537677,0.13786382885350681,0.13802137465407624,0.09683564763925386,0.1022378854611467,0.12009419830717757,0.12459754584343992,0.12563048195101206,0.12138329383802786,0.10335253011810575,0.09813514345634262,0.2515204393845243,0.23299178710540688,0.20352271757617965,0.1881135823994658,0.41554311220411283,0.41495744692966285,0.4142351564045353,0.4143207233735045,0.41432079070041244,0.4143012520195465,0.4149818311433056,0.41479957930030464,0.18822422465355457,0.20343359308042674,0.23292033510847981,0.25054397969367154,0.09841114816298226,0.10317115674080575,0.1173775120160812,0.12638547696372057,0.1244681188760404,0.11982251567545393,0.10250048013291349,0.09611444833955572,0.13781732729296722,0.1375770177819061,0.13759464636757976,0.1370924887677952,0.1636034290363465,0.16401828134318763,0.16262807150245284,0.16259566613803653,0.41421658058438615,0.41426802886685016,0.4145255883547169,0.41505083706444534,0.18813312106749752,0.20371743053068977,0.2325575928251194,0.25025922700513586,0.09789439949845989,0.10348922742930078,0.11687232613393343,0.12491757450131119,0.1246464114131477,0.12060446659302429,0.10141849899748398,0.09438750588589478,0.1378607524063824,0.13760016788325138,0.13727774284572603,0.13957822458481178,0.16359120196883586,0.16401602804055496,0.16263301284047907,0.16186657251013986,0.4143630350909137,0.4143625321960062,0.41464452618092484,0.41462733475293956,0.18839798149085557,0.20382992997097524,0.2330783012526062,0.2505235513445699,0.09844666647317833,0.10277367148319592,0.11772265942245753,0.12542581691279905,0.12453859626079582,0.11984010388893647,0.10219532991823083,0.09803542838702778,0.13813034498376348,0.1378177200707076,0.13783288725664325,0.13935851915007683,0.16363780180466253,0.16386344556931817,0.1628359330165799,0.1613830972331604
CIE 1931 xy chromaticity [y],0.030320629524208446,0.02654782799695352,0.026162684658037196,0.02671387150951342,0.07103000709807901,0.06908916504128913,0.06966178749695069,0.07058095699952294,0.2377209804396794,0.20647206265368362,0.1345773993167592,0.11872081531067134,0.717123809251544,0.7137487058281231,0.6599400607913644,0.6000763516932075,0.7140826353998473,0.7257089716586217,0.7313958539261847,0.7210769057365485,0.5505632489336101,0.5540454434921868,0.5532501993631064,0.5529617069460259,0.029885180442188086,0.027472047344270563,0.02635703908838301,0.02673463665502133,0.0713368032403151,0.06934624630781516,0.06997857399465784,0.070547901922503,0.2385795837922594,0.20649849802268294,0.13415286826452438,0.11893674225818185,0.7186317558607067,0.7154364106977121,0.6606875258881795,0.6005323906976635,0.7120756146307783,0.7249279055318101,0.731478340678426,0.7214334726802755,0.5528085628552624,0.5533198110873646,0.5529637449585002,0.5526732658447293,0.02806423915319469,0.027793453827508776,0.026222028048500587,0.026685778882973323,0.07120496001821826,0.06919056968747447,0.06974866104728808,0.0705758529907134,0.2381522458274194,0.20649558914121607,0.13425191130676883,0.11875547580223843,0.7186209976111635,0.7140246566263663,0.6600003497805009,0.6000277773631668,0.7134125029712398,0.7241237315926139,0.7312337572837653,0.7218293206799071,0.5543672550952965,0.5535755744710104,0.5532023188313353,0.5526357504202359,0.5525460183805336,0.5529006568639746,0.5536054065690115,0.5539219130740909,0.7213717384002509,0.7312694298650634,0.7241178503661737,0.7160122661954267,0.5998997696139479,0.6568075947434978,0.7060246719707556,0.717975503745846,0.11837926418183849,0.13391738844334483,0.2058282357045159,0.2387017883640471,0.07020943890120487,0.06943770847836239,0.06954298769956384,0.06882819248838867,0.026617437151665424,0.026459945149800535,0.02750713122444005,0.02925183380380418,0.5526440846233822,0.5530970736287885,0.5530364318669535,0.5521099476466064,0.7215944335518297,0.731219706842127,0.7254707766268091,0.7156512373942978,0.6008953784157093,0.6561553766512295,0.7068078665124219,0.7213783987923252,0.11886222083026401,0.13466713710657716,0.2053646369271968,0.23801225526468886,0.07040266771743252,0.06947679891358409,0.06912602205927806,0.07244949494258143,0.02658437758329975,0.026597267696247102,0.02719173242555798,0.030003466018810643,0.5526556369438967,0.5527176331906714,0.5533659655815578,0.5535437218459556,0.7217543253070458,0.7308369179137437,0.7237156333384105,0.7131082230849042,0.6005026746782774,0.6571929797656493,0.7059747997227322,0.7219384766851845,0.11911723717480824,0.1342200016709486,0.20496462641499683,0.23725865253843387,0.07079070108476261,0.0697107948428488,0.069823549992739,0.0731240083702347,0.02675509899758313,0.026625518799401084,0.028035616795391235,0.02923790336599455
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.15725044888424938,0.15690393305256792,0.15857236855994328,0.15853950043601567,0.1315741126970793,0.13006750027989453,0.13071428487533515,0.1310462663255732,0.08760495399360771,0.09040854030983299,0.11078074710451408,0.11587017650011426,0.16180655685689824,0.15505301312919184,0.1288227968901541,0.11670244159359343,0.2939338851305145,0.27640053331420833,0.24557651697574573,0.2275752499573602,0.4360367182646531,0.4378679596876716,0.4370697076133141,0.4369969739226332,0.15691351262727077,0.15717051288255982,0.15861980929213643,0.15838980580698747,0.13086029963801912,0.12983918219673032,0.13082506983958836,0.1309130289475073,0.08644647396494287,0.09031007316319282,0.11041784932128561,0.11594960308304549,0.16058847752054403,0.15575546942631371,0.12893532741430971,0.11664595698089615,0.29403011359843023,0.27640022616697724,0.24532154747371676,0.22777264642496645,0.4370464663430657,0.43751375449784585,0.43716316872952243,0.4371048907440798,0.15515291277789411,0.15750811043633403,0.15851775949127717,0.15836669407889845,0.13033632034748563,0.12993400857900195,0.13068414493508484,0.13088354571950173,0.08637050530033896,0.09137889754129061,0.11077352226725748,0.11586684030120142,0.1602892435462412,0.15499538975591787,0.12872936061463816,0.11670428299710411,0.29466019830693063,0.27632134931281654,0.24537403324696927,0.22749712155781115,0.4386085563592271,0.4378900649095845,0.43706845908060193,0.43707989228071514,0.4370713346770042,0.43708834251868983,0.4379306589938583,0.4378334165656899,0.22756457757682913,0.24528440259328205,0.276217375860142,0.29399498238738064,0.11697029856110965,0.128183905082385,0.14957926639420793,0.16095371437220019,0.11572287527995002,0.11048004744658783,0.09165646987285958,0.0857643442013912,0.13066865975816327,0.13038216762800725,0.13035159997626378,0.12974254000604526,0.15837194962141724,0.15877522543623743,0.1573313545345363,0.15717409722845482,0.4369699485538488,0.43708420772888246,0.43738965423950404,0.43785444522543593,0.22748894733248906,0.24554923837704973,0.276013690258215,0.2936512885023053,0.11653604569138623,0.1284643352376556,0.14917365183145545,0.15977259739496177,0.11592035734405914,0.11130736185724051,0.09052845210711191,0.08401227080166987,0.13070445910383882,0.13039561499195135,0.13001017927716532,0.13235774911148243,0.1583496908907684,0.15876846547442588,0.15733179402459938,0.15653673050750008,0.4371279086040657,0.4371563522836907,0.43757961744453416,0.4376384464609273,0.2277752724447185,0.24565886035088322,0.2763509205536816,0.2935993094483503,0.11710170125417724,0.1278619052372498,0.14993027919623614,0.16040961906811232,0.11580275619754277,0.11050879459244424,0.09136390522315943,0.08760364479946554,0.1309880418445624,0.13062054224538613,0.13057173579841486,0.13222029214051645,0.15839404165941834,0.15862741151908136,0.15754482193407443,0.15607997786089783
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.04961356638673761,0.045338374666327716,0.04414969099326395,0.04485501983099818,0.1142879642188154,0.11233110619823225,0.11239922121944493,0.11300175339205698,0.3261125200989865,0.29094541428638077,0.1983383925947928,0.1768749074065212,0.726036894829666,0.7256230837750838,0.6948878801180588,0.6499407974171785,0.6819358511295276,0.6952103662878021,0.708705486988045,0.7064101692722162,0.5354063476747717,0.5387517739418826,0.537818021448998,0.5373712708188995,0.04932603688859143,0.04630860081711722,0.04439862493005925,0.04493941982684258,0.11469216311339275,0.11272816527928685,0.11272137808049004,0.11303461901283358,0.3272742409942702,0.2909590088836923,0.19803890065130245,0.17711734159768447,0.7274643114298185,0.7274906969654467,0.6956889215481602,0.6503222528061555,0.679884758572267,0.694559500275495,0.708822077336822,0.7066819862727652,0.5375192825550379,0.5380370264842195,0.5375492465703456,0.5370817350802873,0.04772918527864882,0.04654218978864234,0.0442829334031966,0.0448988356881492,0.11470287121144204,0.11257914225760786,0.11252611500175143,0.11307963953193371,0.32742346145832635,0.29071793070598323,0.1979650196650125,0.17696062701090806,0.7276275001634646,0.726439466206269,0.6951957293031575,0.6499271688350228,0.6811279861358023,0.693806143335287,0.7086162304408766,0.7070978763973863,0.5391513447173979,0.5382469054661493,0.5377745913746765,0.5370626859677209,0.536970304571469,0.5374719280090694,0.5383105179144748,0.5387781792184153,0.7066629943026849,0.7087064559382735,0.6939362754926959,0.6834214834965535,0.6496959827191224,0.6927825327257676,0.7226624267864918,0.7267751798878545,0.17660150099396013,0.1977096447280049,0.2898060993420604,0.327945801257935,0.11275051618389859,0.11228581557114854,0.11280271264232361,0.11255096319564686,0.04478601743023209,0.0444609795889508,0.04626939244606611,0.0486056678743022,0.5370671647281241,0.5376370954874061,0.5377488435753467,0.5369832064731618,0.7068877069503233,0.7086517858789295,0.6951262123601255,0.6831764664349493,0.6507491669036017,0.69202688813889,0.7233637800727496,0.7301981094546756,0.17705819991579522,0.19821683955557756,0.28969624333053684,0.3277197751396248,0.11297633492615304,0.11235734037142159,0.11248177460385458,0.11571179117206694,0.04478740693945741,0.04462501529844581,0.045954334757613666,0.04945844460911755,0.5370638123144562,0.5372689524351947,0.5381124119153079,0.5383732115552955,0.7069980183318265,0.7082317468346373,0.6934846136439848,0.6809809916762408,0.6500957272847713,0.6930646858497398,0.7225116265969176,0.7304305557964267,0.1774100543297704,0.19802151444589722,0.2888605406678318,0.3258895988547558,0.11330993325689544,0.11254509005609852,0.1131190887836837,0.11632876326028446,0.044961816954052686,0.04468682943288708,0.046772790015197845,0.04871366721113733
S-cone-opic irradiance (mW ⋅ m⁻²),43.896890885908505,295.76509077697165,1286.0038080037384,7464.789074784491,33.28881638128468,206.85629227223723,1060.1354262074642,5537.1812274018475,14.463457228976774,106.19479483757729,819.6572270500748,4182.6939943595735,2.183264768577212,7.643029274419841,100.56853520042519,785.275159112841,0.5142973747416091,3.69724365515789,30.083544363463304,240.61982415298314,0.8937558772047453,3.4260954500985563,22.858352946486033,113.5579945113829,44.08147866194649,297.23761123104805,1290.9493526193849,7484.350416244673,33.329148276434886,207.24353042638043,1060.957673741963,5547.640451263087,14.459494768578288,106.54017661539291,820.4939091194209,4194.480569798206,2.1709391108375806,7.875062071921207,99.62070774014596,785.5633141878662,0.5815699423013982,3.831203560960741,30.136253618545787,238.86813640871415,0.7730283723900082,4.194625997810608,23.239248865327855,114.73890785683616,44.010090452722764,297.58250115616175,1288.8501142855905,7488.831774693525,33.36101447040241,207.0538975299792,1060.791486124725,5550.996311574415,14.361797756600819,106.84074064508192,822.3895907127197,4197.333819649071,2.1853001410702086,8.563194111502575,100.2358138174447,788.3825283446882,0.5217786067790726,4.013784787180927,30.311946267038316,238.37012449491002,0.6500573117043863,4.0704011147712125,23.090824115913723,115.12295968169683,115.54218835103546,26.642343659629855,4.054632921871524,0.695274370747452,240.05540396881935,30.049624126061982,3.9924248851761863,0.4675774622894388,790.4432417146165,107.23875492540165,16.936786052088568,2.2028054544985953,4202.0981747361275,821.3985554141611,107.32623831045095,14.463621086053504,5562.8622569076615,1058.0447226512922,207.328758870475,33.3589087484189,7491.347061312592,1292.453027006042,296.895082089321,44.140366116551014,116.08512831860295,26.498431694806072,4.291671407812972,0.7658219772304444,239.52632154755398,29.917221249935846,3.784142465238256,0.4867683827741464,785.864358426352,107.80512646709204,16.894065227060196,2.1237690496130117,4198.547232329838,822.5913243750224,106.92781220758006,14.374847788538547,5551.2770621427,1055.2512184106224,206.66417007657907,33.58817715367218,7489.775944100843,1293.83114098519,296.9785109446737,44.20234062923456,115.09229988381018,26.90291035278319,4.176737150458422,0.7176835611027146,237.07235538963317,30.177605680968814,4.061484752265052,0.560768947435038,787.199145931127,106.7918724375057,16.94838172566547,2.103451186539284,4188.4286932155155,818.9688356336171,107.50135805130398,14.530907006578666,5552.301933799962,1054.9028772185952,206.77520147105412,33.54080029018,7490.5346924992455,1292.9994120158856,296.9532646068908,44.26024038123722
M-cone-opic irradiance (mW ⋅ m⁻²),7.736096849150682,48.20547052873715,201.93827703517417,1189.474054100132,14.67971505537402,89.9436770117532,459.88629982983696,2409.5774338789256,22.809316823750997,142.50172601252407,672.2557526000323,2991.4542741924265,41.31540339525978,135.42353138272003,1117.8867015719763,6045.664193464562,47.551690102654526,300.1260905045005,1444.31274665108,7477.51059861849,35.52465002188109,174.94858389620873,1068.8596634601465,5168.580115645816,7.748667782866138,49.26162750406696,203.67649739983523,1196.0635216462874,14.771662461424619,90.47831763030138,461.4031648046911,2415.651735674623,22.913797342969463,142.9663618973149,671.9574208429133,3004.291822269396,41.31404648044578,143.7006875880944,1115.4116765225479,6061.099052548921,47.61870603353115,300.2698460846471,1441.9629522510288,7491.267833850583,35.4812306137607,202.3573821044786,1076.198494819188,5171.283606772902,7.607433441641323,49.41204628209791,203.04238894936117,1196.0524603918082,14.805205752375754,90.26124548832561,460.6983509290744,2418.3118333631037,22.78255951022318,143.22242723050346,673.0258613237831,3003.7146443035035,41.58788342086803,153.25578436758533,1116.5696793458512,6069.16989316764,47.70256909082882,301.2735806426219,1443.349729447046,7506.8122496115475,35.3120546305691,202.33762124956215,1077.0739928859591,5179.264362938617,5172.526348747411,1225.1022824149304,202.6470409608472,35.47619454133815,7499.063864938402,1431.5461642184146,300.61476349309106,47.87345061254474,6082.143689166159,1168.7781016339325,277.8259963210174,41.71448467799313,3000.8175381962424,671.3558351354528,143.25545913288727,22.99096989487155,2417.8178117524867,458.8953999379197,90.46392414428635,14.555818939408239,1193.6332361714476,203.90672982645202,49.105640744127584,7.643651554479947,5199.1281819932665,1227.7318363778695,202.88109268181051,35.55420586652206,7507.973752262929,1433.1994705220952,300.31876196360065,47.90723521584553,6077.531424792502,1169.5763142978597,278.3045922821241,41.53289733904254,3006.282311623313,673.8841864902631,142.64293844983118,22.813875278818273,2417.349440515451,457.9567917623189,89.99660975136474,14.96879337111599,1193.7131316440268,204.81376561903267,48.82602733734604,7.808092039149405,5188.406860504104,1227.6313028211523,202.95822939988042,35.439887856255126,7486.968797748876,1430.0593062555135,300.46014696946463,47.91414951326584,6075.10875012441,1164.3248010384384,278.3934330903365,41.50274206433877,3006.1011240543658,670.5622998784904,142.83301052314772,22.89586817614303,2423.196325295584,458.30989392082495,90.42827276000345,15.029642105252423,1197.5484232237832,205.16191427229614,49.50984770032798,7.738241660056765
L-cone-opic irradiance (mW ⋅ m⁻²),5.186169418716175,31.733860025991824,135.79862405126661,801.2526000863668,9.165116880317038,55.429621356146306,284.63040079745866,1496.4640048117346,15.025387758305147,92.5267028172052,429.53943396600624,1902.6284204802248,32.426568138934925,105.54459119520558,846.3685101083892,4500.556724241224,43.33847388351808,267.3640803125651,1240.5979144374985,6298.678897480243,42.06721273966166,207.22964650276236,1265.3925718788262,6120.449796945189,5.165999411265459,32.661538934365886,137.17019111655983,804.0912131444641,9.190001241887643,55.726501970244115,285.9512457207963,1499.1289332679091,15.065594317396918,92.80751400412305,428.6665205021244,1911.942295580245,32.38481826206582,112.081848183975,844.6374027151857,4511.922759887606,43.42364794737217,267.5207008523857,1238.2185445073867,6311.484194539168,42.013829469270796,239.69594148023003,1274.548450435178,6126.167421438892,4.924161116773309,32.94611522887084,136.4823245663988,803.6988509491298,9.182209107206765,55.608528725220076,285.1560167180233,1500.6366370888277,14.978330509158887,93.20138471551996,429.8573793996543,1910.5947644518417,32.58964621040024,119.43739157396064,845.2988453514175,4518.0653597139835,43.520517685792306,268.42621158844486,1239.5064248399347,6322.435959637869,41.864568848263566,239.77881405082172,1275.1589594254986,6135.445808412901,6127.8387343715185,1450.8088040343978,240.14917868698083,42.01881364122325,6316.629525057921,1229.236180667493,267.80143266185576,43.62148543510639,4529.006684966843,884.1686422990036,215.28616226094587,32.71087257900708,1906.851561680506,428.23267647875133,93.2305594192771,15.099573246038858,1497.3699061898615,283.37617422018945,55.900193267790456,8.955791470073875,801.8734921131382,137.67265057447904,32.63092276167658,5.102813842125308,6157.845477625711,1453.7233268025439,240.3226642109148,42.173447099939125,6323.4780185811605,1231.0203116060736,267.42096646318106,43.63691234608755,4523.766543275412,884.9978234645245,215.57038374105923,32.53057824164481,1912.850550064116,431.32695114543355,92.56979790561972,14.92468841135511,1498.0953208769029,282.86137914118575,55.46075918332757,9.414945491374194,801.6538374362812,138.33851993711625,32.410437800035595,5.18144468909513,6146.766004695558,1454.2106445576846,240.41760949896786,41.97603106047881,6307.706102543339,1228.534582110499,267.72526956527327,43.660806687669044,4524.615162983622,880.5093547629637,215.80273142803264,32.52837222441227,1912.634973062725,427.9060889135143,92.8320738418048,15.080398935451985,1505.311898687053,283.5816560136424,55.990628415460556,9.456033302568613,805.1902313257823,138.3081495638205,33.053212140583625,5.090917246974087
Rhodopic irradiance (mW ⋅ m⁻²),21.821953194711643,139.9690367253546,585.0161212777189,3428.860401009885,34.46980421933154,212.74788572126843,1084.153220489482,5653.362351906965,42.197331385586395,272.2130466164971,1382.6075142441305,6288.706049777923,45.33302685072775,150.9948890435287,1372.5097377323953,7890.805970026521,34.63938292379356,230.81758601817418,1238.222396666074,6857.7755604953145,22.12034063831666,108.45256440358783,663.9234010950404,3205.977679284902,21.958745030079044,141.88432737059517,589.353413727257,3448.122068579356,34.62588968830612,213.83881501724656,1086.3326476833008,5669.208295565531,42.36203563361173,273.0662370141256,1383.7069630218027,6313.102424397616,45.34311119704964,160.16911365207224,1369.1671678485586,7908.1609097875,34.70615564989471,231.0823319227916,1236.7313784953599,6865.588834646026,22.020302750880713,125.55642840676221,668.4056928275014,3205.9524328106813,21.872418185376155,141.8712542748117,588.2604093857402,3450.151475660747,34.718442486865165,213.51305932106968,1085.7685970489001,5674.97088524523,42.219760813606484,273.3978784373558,1384.9217368593252,6315.064935274496,45.655615140696895,171.15161219230382,1371.836501145301,7922.611717706366,34.668453145189034,232.00808195859395,1238.2836485091696,6883.277025600034,21.856819054109963,125.41437617470619,669.1027109548718,3212.640144293587,3208.1551274476037,761.1162334127047,125.61529160401724,22.014388281451286,6877.26649590984,1228.4560362630114,231.80360017876262,34.779232259462574,7938.272041428535,1440.3320287888007,316.2407278069415,45.77341722583025,6315.214301031912,1382.8405997167538,273.55686448256193,42.56428632455661,5682.609656943255,1083.0824669533379,213.62686037388508,34.51149929204796,3443.6404013021593,589.4585137833519,141.32225717416293,21.81730924568957,3226.0501147266905,762.406842851536,125.97177412308491,22.063999320066486,6885.937400757945,1229.4793037315842,231.39477760993478,34.84481861239059,7931.19183504556,1441.1211971355249,316.72573902573197,45.58928237488572,6318.489517349144,1384.8831589448357,272.8219824696559,42.30990375619423,5677.735936327894,1080.7794749615564,212.93138589652074,34.96399246984564,3446.6663078480383,591.4060290327552,141.0251759777016,22.073243498633946,3217.055435758521,762.0035776920821,125.91705618875143,21.984182103013083,6861.764365153349,1226.044642436197,231.5416059935795,34.93463847742949,7922.342131856083,1434.5218985310196,316.67722500614894,45.473488499407026,6315.772626996881,1380.2505159928241,273.04728756633597,42.41103132214929,5682.057515523073,1080.5797981893124,213.36076219463695,34.97901889574445,3452.3462276844425,592.061572615514,141.7799103174863,22.014570642405584
Melanopic irradiance (mW ⋅ m⁻²),26.488705829892776,170.33549333657407,711.1677448480527,4167.45531121052,41.97361668461241,259.0708395374415,1316.6867129912846,6846.203588933395,46.46439180677906,304.82181316405484,1602.692468069743,7346.5527073794465,36.475938532878786,122.58754443423632,1185.4067247352878,7103.059889166522,21.72490912319787,149.4527087421371,862.5231845104519,5016.661453773344,14.241308184557282,69.47864102563086,426.0391094308036,2054.844317169175,26.682001788757137,172.47916250167637,716.4822734878169,4190.905461430027,42.13182788573313,260.3613381520731,1318.9742492427554,6865.809898723691,46.63346196980055,305.7623146608914,1604.4533457584207,7374.063493060753,36.4792245140193,130.02802062161726,1182.447607615818,7117.117543867436,21.78318434446121,149.74283628492353,861.7862385540795,5019.710630230189,14.128004367453416,80.51765707702359,428.928183189765,2054.4284907794954,26.604896866750472,172.44587905260659,715.3447714888048,4193.682287873789,42.24415194355075,260.01943939340777,1318.54596520541,6872.816798724131,46.50803455407777,306.1575873638483,1605.7066714651025,7377.7843462012415,36.746270233125934,139.10823557101278,1185.3550728293853,7132.278287637674,21.696203507966544,150.42060238866566,863.0251839623512,5033.368492175387,13.985050724966525,80.35673172350785,429.38161036436946,2059.5445740381233,2056.8658761734705,488.56456882664764,80.49233352776822,14.123557250473878,5029.690112737244,856.4727462848423,150.45325313825447,21.733667659650617,7145.653862097035,1247.3360481676677,260.1041995639349,36.81939304151681,7380.076391980882,1603.5601506789694,306.45056318289426,46.86908945251683,6884.208616961795,1315.5865497656368,260.1035929619669,42.1046328672685,4185.397138483411,716.5661874074686,171.77217201438054,26.53872013359307,2068.8208033210476,489.0801117975041,80.85001842208473,14.167783482218317,5036.028702237779,857.0128997235502,150.0306744314278,21.801901588869242,7137.6847754272985,1247.9850848067963,260.4372225127989,36.66552964583866,7381.390183917776,1605.2286948718333,305.6771028665375,46.610165192479876,6877.506679996766,1312.9056798902236,259.3343194156383,42.526481454459784,4190.124290209136,718.8453031837805,171.56305059396595,26.788297471698435,2061.6213873103707,488.8596335551158,80.75651465012407,14.101046563160493,5016.548893360349,854.4510001138697,150.24250349687313,21.933210949090164,7127.93737261276,1242.0148219305495,260.39067005013226,36.53931508181117,7376.949060796813,1600.198640675604,305.93999584228425,46.7207303802057,6880.717757665196,1312.4475902500124,259.7595570529906,42.51082263082528,4196.1514150759085,719.5325123556236,172.26800730624785,26.747350233233696
