driver,n_subjects,noise_scaling,response,model_name,prop_converged,prop_singular,n_fits
mel,3,8,simulated_log10,phot,1,0.569,1000
mel,3,8,simulated_log10,rho,0.999,0.48,1000
mel,3,10,simulated_log10,mel,1,0.589,1000
mel,3,10,simulated_log10,phot,1,0.657,1000
mel,3,10,simulated_log10,rho,1,0.594,1000
mel,4,0.5,simulated_log10,mel,1,0,1000
mel,4,0.5,simulated_log10,phot,1,0.006,1000
mel,4,0.5,simulated_log10,rho,1,0,1000
mel,4,1,simulated_log10,mel,1,0.001,1000
mel,4,1,simulated_log10,phot,1,0.011,1000
mel,4,1,simulated_log10,rho,1,0.001,1000
mel,4,2,simulated_log10,mel,1,0.01,1000
mel,4,2,simulated_log10,phot,1,0.044,1000
mel,4,2,simulated_log10,rho,1,0.011,1000
mel,4,4,simulated_log10,mel,1,0.093,1000
mel,4,4,simulated_log10,phot,1,0.19,1000
mel,4,4,simulated_log10,rho,1,0.103,1000
mel,4,6,simulated_log10,mel,1,0.245,1000
mel,4,6,simulated_log10,phot,1,0.362,1000
mel,4,6,simulated_log10,rho,1,0.263,1000
mel,4,8,simulated_log10,mel,1,0.402,1000
mel,4,8,simulated_log10,phot,1,0.497,1000
mel,4,8,simulated_log10,rho,1,0.403,1000
mel,4,10,simulated_log10,mel,1,0.463,1000
mel,4,10,simulated_log10,phot,1,0.545,1000
mel,4,10,simulated_log10,rho,1,0.47,1000
mel,5,0.5,simulated_log10,mel,1,0,1000
mel,5,0.5,simulated_log10,phot,1,0,1000
mel,5,0.5,simulated_log10,rho,1,0,1000
mel,5,1,simulated_log10,mel,1,0,1000
mel,5,1,simulated_log10,phot,1,0,1000
mel,5,1,simulated_log10,rho,1,0,1000
mel,5,2,simulated_log10,mel,1,0.005,1000
mel,5,2,simulated_log10,phot,1,0.018,1000
mel,5,2,simulated_log10,rho,1,0.005,1000
mel,5,4,simulated_log10,mel,1,0.051,1000
mel,5,4,simulated_log10,phot,1,0.142,1000
