driver,n_subjects,noise_scaling,response,mean_prop_floored,sd_prop_floored,median_prop_floored,min_prop_floored,max_prop_floored,mean_n_rows_before_discard,mean_n_rows_floored,mean_n_rows_after_discard
mel,2,0.5,simulated_log10,0.5108368055555556,0.11090250151712351,0.5069444444444444,0.19791666666666666,0.8958333333333334,288,147.121,140.879
mel,2,1,simulated_log10,0.5038020833333333,0.10886016984077407,0.5052083333333333,0.16666666666666666,0.9097222222222222,288,145.095,142.905
mel,2,2,simulated_log10,0.5114930555555556,0.11296619681142983,0.5034722222222222,0.1909722222222222,0.9965277777777778,288,147.31,140.69
mel,2,4,simulated_log10,0.5112430555555556,0.11326959031776508,0.5104166666666666,0.2152777777777778,0.9131944444444444,288,147.238,140.762
mel,2,6,simulated_log10,0.5084166666666666,0.10841204622848179,0.5034722222222222,0.23958333333333334,0.84375,288,146.424,141.576
mel,2,8,simulated_log10,0.49833333333333335,0.1095369607068061,0.4930555555555556,0.13541666666666666,0.8541666666666666,288,143.52,144.48
mel,2,10,simulated_log10,0.5135555555555555,0.10763427979052727,0.5104166666666666,0.22569444444444445,0.8645833333333334,288,147.904,140.096
mel,3,0.5,simulated_log10,0.5080185185185185,0.08983667393637755,0.5046296296296297,0.2824074074074074,0.8240740740740741,432,219.464,212.536
mel,3,1,simulated_log10,0.5097592592592592,0.08657506857643706,0.5069444444444444,0.2569444444444444,0.8449074074074074,432,220.216,211.784
mel,3,2,simulated_log10,0.5091689814814815,0.09086437832246456,0.5069444444444444,0.2708333333333333,0.7986111111111112,432,219.961,212.039
mel,3,4,simulated_log10,0.5114722222222222,0.09218637908969715,0.5069444444444444,0.2152777777777778,0.8078703703703703,432,220.956,211.044
mel,3,6,simulated_log10,0.5117847222222223,0.08845412611126459,0.5069444444444444,0.2824074074074074,0.8912037037037037,432,221.091,210.909
mel,3,8,simulated_log10,0.5106458333333334,0.08823481196010595,0.5069444444444444,0.2523148148148148,0.7939814814814815,432,220.599,211.401
mel,3,10,simulated_log10,0.5088726851851851,0.08891464125673315,0.5023148148148148,0.26851851851851855,0.8287037037037037,432,219.833,212.167
mel,4,0.5,simulated_log10,0.507390625,0.07941598147268902,0.5034722222222222,0.296875,0.8020833333333334,576,292.257,283.743
mel,4,1,simulated_log10,0.50784375,0.07756305712757366,0.5034722222222222,0.3090277777777778,0.796875,576,292.518,283.482
mel,4,2,simulated_log10,0.5089184027777778,0.0766512136919309,0.5052083333333334,0.296875,0.7604166666666666,576,293.137,282.863
mel,4,4,simulated_log10,0.5090711805555556,0.07590209037431236,0.5060763888888888,0.2899305555555556,0.7621527777777778,576,293.225,282.775
mel,4,6,simulated_log10,0.5095086805555555,0.07759789851329156,0.5060763888888888,0.2760416666666667,0.7864583333333334,576,293.477,282.523
mel,4,8,simulated_log10,0.511140625,0.07792628707642058,0.5086805555555556,0.2760416666666667,0.7708333333333334,576,294.417,281.583
mel,4,10,simulated_log10,0.5123940972222222,0.08074624303870107,0.5138888888888888,0.2586805555555556,0.7951388888888888,576,295.139,280.861
mel,5,0.5,simulated_log10,0.5100333333333333,0.06708731571729772,0.5097222222222222,0.33611111111111114,0.7527777777777778,720,367.224,352.776
mel,5,1,simulated_log10,0.5100541666666667,0.06809621445235156,0.5076388888888889,0.30694444444444446,0.7361111111111112,720,367.239,352.761
mel,5,2,simulated_log10,0.512525,0.07106408017301369,0.5083333333333333,0.32916666666666666,0.7847222222222222,720,369.018,350.982
