driver,noise_scaling,n_subjects,evidence,n,prop
mel,1,46,Favours phot model,0,0
mel,1,46,Favours rho model,0,0
mel,1,46,No clear preference,0,0
mel,1,47,Favours mel model,1000,1
mel,1,47,Favours phot model,0,0
mel,1,47,Favours rho model,0,0
mel,1,47,No clear preference,0,0
mel,1,48,Favours mel model,1000,1
mel,1,48,Favours phot model,0,0
mel,1,48,Favours rho model,0,0
mel,1,48,No clear preference,0,0
mel,1,49,Favours mel model,1000,1
mel,1,49,Favours phot model,0,0
mel,1,49,Favours rho model,0,0
mel,1,49,No clear preference,0,0
mel,1,50,Favours mel model,1000,1
mel,1,50,Favours phot model,0,0
mel,1,50,Favours rho model,0,0
mel,1,50,No clear preference,0,0
mel,2,2,Favours mel model,606,0.6066066066066066
mel,2,2,Favours phot model,4,0.004004004004004004
mel,2,2,Favours rho model,60,0.06006006006006006
mel,2,2,No clear preference,329,0.32932932932932935
mel,2,3,Favours mel model,740,0.74
mel,2,3,Favours phot model,0,0
mel,2,3,Favours rho model,50,0.05
mel,2,3,No clear preference,210,0.21
mel,2,4,Favours mel model,834,0.834
mel,2,4,Favours phot model,0,0
mel,2,4,Favours rho model,31,0.031
mel,2,4,No clear preference,135,0.135
mel,2,5,Favours mel model,835,0.835
mel,2,5,Favours phot model,0,0
mel,2,5,Favours rho model,39,0.039
mel,2,5,No clear preference,126,0.126
mel,2,6,Favours mel model,902,0.902
mel,2,6,Favours phot model,0,0
mel,2,6,Favours rho model,21,0.021
mel,2,6,No clear preference,77,0.077
mel,2,7,Favours mel model,891,0.891
mel,2,7,Favours phot model,0,0
mel,2,7,Favours rho model,32,0.032
mel,2,7,No clear preference,77,0.077
mel,2,8,Favours mel model,925,0.925
mel,2,8,Favours phot model,0,0
mel,2,8,Favours rho model,24,0.024
mel,2,8,No clear preference,51,0.051
mel,2,9,Favours mel model,937,0.937
mel,2,9,Favours phot model,0,0
mel,2,9,Favours rho model,24,0.024
mel,2,9,No clear preference,39,0.039
mel,2,10,Favours mel model,962,0.962
mel,2,10,Favours phot model,0,0
mel,2,10,Favours rho model,14,0.014
mel,2,10,No clear preference,24,0.024
mel,2,11,Favours mel model,962,0.962
mel,2,11,Favours phot model,0,0
mel,2,11,Favours rho model,12,0.012
mel,2,11,No clear preference,26,0.026
mel,2,12,Favours mel model,968,0.968
mel,2,12,Favours phot model,0,0
mel,2,12,Favours rho model,10,0.01
mel,2,12,No clear preference,22,0.022
mel,2,13,Favours mel model,969,0.969
mel,2,13,Favours phot model,0,0
mel,2,13,Favours rho model,11,0.011
mel,2,13,No clear preference,20,0.02
mel,2,14,Favours mel model,976,0.976
mel,2,14,Favours phot model,0,0
mel,2,14,Favours rho model,11,0.011
mel,2,14,No clear preference,13,0.013
mel,2,15,Favours mel model,977,0.977
mel,2,15,Favours phot model,0,0
mel,2,15,Favours rho model,8,0.008
mel,2,15,No clear preference,15,0.015
mel,2,16,Favours mel model,994,0.994
mel,2,16,Favours phot model,0,0
mel,2,16,Favours rho model,2,0.002
mel,2,16,No clear preference,4,0.004
mel,2,17,Favours mel model,992,0.992
mel,2,17,Favours phot model,0,0
mel,2,17,Favours rho model,1,0.001
mel,2,17,No clear preference,7,0.007
mel,2,18,Favours mel model,994,0.994
mel,2,18,Favours phot model,0,0
mel,2,18,Favours rho model,2,0.002
mel,2,18,No clear preference,4,0.004
mel,2,19,Favours mel model,994,0.994
mel,2,19,Favours phot model,0,0
mel,2,19,Favours rho model,3,0.003
mel,2,19,No clear preference,3,0.003
mel,2,20,Favours mel model,994,0.994
mel,2,20,Favours phot model,0,0
mel,2,20,Favours rho model,2,0.002
mel,2,20,No clear preference,4,0.004
mel,2,21,Favours mel model,997,0.997
mel,2,21,Favours phot model,0,0
mel,2,21,Favours rho model,1,0.001
mel,2,21,No clear preference,2,0.002
mel,2,22,Favours mel model,998,0.998
mel,2,22,Favours phot model,0,0
mel,2,22,Favours rho model,0,0
mel,2,22,No clear preference,2,0.002
mel,2,23,Favours mel model,998,0.998
mel,2,23,Favours phot model,0,0
mel,2,23,Favours rho model,0,0
mel,2,23,No clear preference,2,0.002
mel,2,24,Favours mel model,1000,1
mel,2,24,Favours phot model,0,0
mel,2,24,Favours rho model,0,0
mel,2,24,No clear preference,0,0
mel,2,25,Favours mel model,999,0.999
mel,2,25,Favours phot model,0,0
mel,2,25,Favours rho model,1,0.001
mel,2,25,No clear preference,0,0
mel,2,26,Favours mel model,997,0.997
mel,2,26,Favours phot model,0,0
mel,2,26,Favours rho model,0,0
mel,2,26,No clear preference,3,0.003
mel,2,27,Favours mel model,1000,1
mel,2,27,Favours phot model,0,0
mel,2,27,Favours rho model,0,0
mel,2,27,No clear preference,0,0
mel,2,28,Favours mel model,999,0.999
mel,2,28,Favours phot model,0,0
mel,2,28,Favours rho model,0,0
mel,2,28,No clear preference,1,0.001
mel,2,29,Favours mel model,999,0.999
mel,2,29,Favours phot model,0,0
mel,2,29,Favours rho model,1,0.001
mel,2,29,No clear preference,0,0
mel,2,30,Favours mel model,999,0.999
mel,2,30,Favours phot model,0,0
mel,2,30,Favours rho model,1,0.001
mel,2,30,No clear preference,0,0
mel,2,31,Favours mel model,999,0.999
mel,2,31,Favours phot model,0,0
mel,2,31,Favours rho model,0,0
mel,2,31,No clear preference,1,0.001
mel,2,32,Favours mel model,1000,1
mel,2,32,Favours phot model,0,0
mel,2,32,Favours rho model,0,0
mel,2,32,No clear preference,0,0
mel,2,33,Favours mel model,1000,1
mel,2,33,Favours phot model,0,0
mel,2,33,Favours rho model,0,0
mel,2,33,No clear preference,0,0
mel,2,34,Favours mel model,1000,1
mel,2,34,Favours phot model,0,0
mel,2,34,Favours rho model,0,0
mel,2,34,No clear preference,0,0
mel,2,35,Favours mel model,1000,1
mel,2,35,Favours phot model,0,0
mel,2,35,Favours rho model,0,0
mel,2,35,No clear preference,0,0
mel,2,36,Favours mel model,1000,1
mel,2,36,Favours phot model,0,0
mel,2,36,Favours rho model,0,0
mel,2,36,No clear preference,0,0
mel,2,37,Favours mel model,999,0.999
mel,2,37,Favours phot model,0,0
mel,2,37,Favours rho model,1,0.001
mel,2,37,No clear preference,0,0
mel,2,38,Favours mel model,1000,1
mel,2,38,Favours phot model,0,0
mel,2,38,Favours rho model,0,0
mel,2,38,No clear preference,0,0
mel,2,39,Favours mel model,1000,1
mel,2,39,Favours phot model,0,0
mel,2,39,Favours rho model,0,0
mel,2,39,No clear preference,0,0
mel,2,40,Favours mel model,1000,1
mel,2,40,Favours phot model,0,0
mel,2,40,Favours rho model,0,0
mel,2,40,No clear preference,0,0
mel,2,41,Favours mel model,1000,1
mel,2,41,Favours phot model,0,0
mel,2,41,Favours rho model,0,0
